Titulo,Link,Publicación,Tiempo Restante,Tipo de trabajo,Ubicación,Presupuesto,Experiencia Requerida,Cliente,Pais,Contenido,Mensaje
"Helpdesk Junior
                ",http://www.nubelo.com/proyecto/helpdesk-junior,"21 días
                      ","8 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","",Alt******** ,España                ,"
              PERFIL	Dominio hablado y escrito del idioma castellano y dominio hablado y escrito del idioma catalán-Conocimientos administrativos.-Motivación al aprendizaje            ",""
"Desarrollador en Wordpress
                ",http://www.nubelo.com/proyecto/desarrollador-en-wordpress-1,"21 días
                      ","8 días
                       ","proyecto freelance
           ","Colombia, Bogotá
             ","sin especificar
              ","Intermedio (3-5 años)
                  ",Ros**** ,Colombia                ,"
              Necesito un desarrollador en WordPress para el portal de un instituto educativo. Debe tener diferentes niveles de usuario para acceso a diferentes contenidos, registro de calificaciones y tabulación de resultados para los profesores.             ",""
"Diseño gráfico Club de Fútbol 
                ",http://www.nubelo.com/proyecto/diseno-grafico-club-de-futbol-,"21 días
                      ","8 días
                       ","proyecto freelance
           ","España, Isla Cristina
        ","sin especificar
              ","Intermedio (3-5 años)
                  ",UD. Punta del Caimán ,España                ,"
              Diseño de un Cartel publicitario, para una captación de socios a un club de fútbol. También el diseño de unos Carnets de Socio para dicho club.Y por último el diseño de unos cuadros para empresas socio protectoras del club.            ",""
"PROGRAMADOR PARA ACCESS
                ",http://www.nubelo.com/proyecto/programador-para-access,"21 días
                      ","8 días
                       ","proyecto freelance
           ","España, Valencia
             ","sin especificar
              ","Senior (6-10 años)
                     ",INFORMATICA Y GESTION ANALITICA S.L. ,España                ,"
              Se necesita programador de visual para Access. Se requiere desarrollar nuevas funcionalidades así como corregir funcionalidades actuales de una aplicación ERP. El trabajo debe realizarse en las dependencias del cliente o por conexión remota.              ",""
"xml prestashop
                ",http://www.nubelo.com/proyecto/xml-prestashop,"21 días
                      ","8 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Jose Manuel ,España                ,"
              Necesito exportar los productos de mi web en un xml y que  se actualize diariamente.El archivo hay que alojarlo en una url publica donde puedan acceder a él los tecnicos de la web donde se van a exportar los productos.Se trata de que se exporten solo los productos que en ese momento tengan stock(suele ser entre 5000 y 6000)E 95% de los productos de mi web estan por dropshiping y se actualizan diariamente por un cron activandose o desactivandose según haya o no stock. Los productos en la web donde los voy a exportar se tendrían que comportar de la misma forma que en mi web, es decir: si hay stock se muestran y si no hay stock no se deben de ver(supongo que el xml al actualizarse debe de incluir solo los productos que tengan stock en ese momento)Adjunto pdf con las especificaciones            ",""
"Traductores de artículos de salud de español a alemán 
                ",http://www.nubelo.com/proyecto/traductores-de-articulos-de-salud-de-espanol-a-aleman,"21 días
                      ","8 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Grupo m contigo S.L ,España                ,"
              Actualmente estamos buscando alemanes nativos (también tenemos en cuenta que la persona tenga estudios sobre Filología o Periodismo) que traduzcan desde el español para nuestros artículos de salud.Los artículos sean de 700 palabras como mínimo, con tres imágenes y unos enlaces. Trabajamos en Wordpress, proveemos a nuestros traductores de temas. Si le parece bien, póngase en contacto conmigo indicando en qué blog preferiría escribir  . Traducción del: RusoTraducción al: RusoCantidad de palabras: Más de 1000Tipo de documento a traducir: Blog            ",""
"Traductores de artículos de salud de ingles o español a coreano 
                ",http://www.nubelo.com/proyecto/traductores-de-articulos-de-salud-de-ingles-o-espanol-a-coreano,"21 días
                      ","8 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Grupo m contigo S.L ,España                ,"
              Actualmente estamos buscando traductores nativos Coreanos que hablen español o inglés para nuestros artículos de salud. Los artículos sean de 700 palabras como mínimo, con tres imágenes y unos enlaces. Trabajamos en Wordpress, proveemos a nuestros traductores de temas. Si le parece bien, póngase en contacto conmigo indicando en qué blog preferiría escribir  Traducción del: inglésTraducción al: coreanoCantidad de palabras: Más de 1000Tipo de documento a traducir: Blog            ",""
"Vendedores profesionales 
                ",http://www.nubelo.com/proyecto/vendedores-profesionales--1,"21 días
                      ","8 días
                       ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Intermedio (3-5 años)
                  ","Eurogestión de Servicios Patrimoniales, S.L. ",España                ,"
              Venta de servicios de formación laboral, desfibriladores, servicio de prevención ajeno y ley orgánica de protección de datos. Con una empresa con servicios muy específicos y diferenciados de la competencia.            ",""
"Desarrollador Web
                ",http://www.nubelo.com/proyecto/desarrollador-web-404,"21 días
                      ","8 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Grupo 360 S.A ,Panama                ,"
              Perfil Profesional solicitadado para Full Stack Developer:- Experiencia consumo Api REST y deserializacion de JSON- Amplia experiencia en backend en cualquier lenguaje de programación preferiblemente PHP o PYTHON DJANGO- Experiencia en integración de E-Commerce con pagos online utilizando PayU o derivados- Utilización de base de datos MYSQL, PostgreSQL- Experiencia en  sistema operativo LINUX para cloud computing- Es preferible que sepa utilizar la linea de comandos en la plataforma linux- CSS, HTML y buena gestión del diseño es muy importante- Experiencia en algún framework frontend de javascript (angularJs, EmberJs,ReactJs)- Experiencia en algún Framework PHP (Cakephp, Laravel, etc)- GIT o algún VCSSi tiene experiencia en desarrollo de apps moviles nativas o hibridas, seria un gran plus.Mandar url de trabajos realizados.            ",""
"Mejoras y nuevas funcionalidades para comunidad de usuarios online
                ",http://www.nubelo.com/proyecto/mejoras-y-nuevas-funcionalidades-para-comunidad-de-usuarios-online,"21 días
                      ","8 días
                       ","proyecto freelance
           ","Argentina, Buenos Aires
      ","sin especificar
              ","Experto (+10 años)
                     ",Tito ,Argentina                ,"
              El trabajo busca realizar mejoras y nuevas funcionalidades para web existente de comunidad de usuarios realizada en .NETBuscamos un profesional de confianza con experiencia comprobable y excelentes referencias.             ",""
"Plan Contable de mi empresa
                ",http://www.nubelo.com/proyecto/plan-contable-de-mi-empresa,"22 días
                      ","7 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","500,00 €
                     ","Junior (
                               ",nom apel ,España                ,"
              Tenemos que contratar a un contador que analice la situacion economica de la empresa, muestre balances, estados de cuenta, pagos de planilla y demas funciones requeridas. Horario flexible y sueldo competitivo.             ",""
"Desarrollar Meta Buscador
                ",http://www.nubelo.com/proyecto/desarrollar-meta-buscador,"22 días
                      ","7 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Building for All ,España                ,"
              Se necesita desarrollar un meta buscador para un sector determinado. El buscador es para integrar en una web o app móvil. Es un buscador tipo Kayak, Booking, Rastreator... que permita buscar en bases de datos externas e internas y tenga gran capacidad para filtrar datos.            ",""
"Editar Template After Effects Holographic
                ",http://www.nubelo.com/proyecto/editar-template-after-effects-holographic,"22 días
                      ","22 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","6,50 €
                       ","Junior (
                               ",Daniel ,España                ,"
              Se dispone de este template: https://videohive.net/item/holographic-touch-ii/796536?s_rank=7Hay que editar contido.• AE CS4 project• Full HD resolution 1920×1080• 7 Background colors• 14 placeholders for photos or videos• 39 interface placeholders• No plugins required• Tutorial included• sound Fx includedfree font: Novecentohttp://www.fontspring.com/fonts/synthview/novecento-wideSe solicitará factura para liberar pago y se debe cumplir contrato confidencialidad.            ",""
"Operador CNC
                ",http://www.nubelo.com/proyecto/operador-cnc,"22 días
                      ","7 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","",Montajes Testa Sl ,España                ,"
              PERFIL	Conocimientos de Sistemas CNC.	Se valorarán conocimientos de Autocad, Aspire, Xilog Plus y Programación CNC.            ",""
"Conversión de documentos PDF y Word para representarlos y anotarlos en el navegador
                ",http://www.nubelo.com/proyecto/conversion-de-documentos-pdf-y-word-para-representarlos-y-anotarlos-en-el-navegador,"22 días
                      ","7 días
                       ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Senior (6-10 años)
                     ",Revisely ,España                ,"
              Revisely ofrece una aplicación para corregir, anotar y evaluar textos online. Los usuarios son profes y alumnos/estudiantes. Los clientes son colegios, institutos y universidades por un lado y editoriales por otro lado.Actualmente los textos se entregan en una pagina web en formato 'rich text' sín imagenes. A estudiantes/alumnos queremos ofrecer la posibilidad de subir documentos PDF y Word. A profes ofreceremos visualizar fielmente esos documentos en el navegador (y en aplicaciones nativas con el navegador incrustado). Además, los profes podrán anotar los documentos en el navegador con 1) observaciones fijas que vienen de una bbdd y 2) con sus propios comentarios. Las anotaciones se fijan a nivel de texto (NO en una capa adicional gráfica).Sistema de procesado de archivos en formato pdf con objeto de permitir la representación de forma fiel en un navegador y con la capacidad de poder realizar anotaciones en el mismo.Módulo de edición e incorporación de anotaciones por parte del profesor de los documentos de los alumnos.Parte 1Conversor de un documento pdf a un archivo FOLIA XML según la especificación de folia (ver referencias abajo). Debe de existir la posibilidad de incluir en un documento folia referencia a entidades como imágenes, fórmulas matemáticas u otras entidades de forma que se puedan vincular observaciones a las mismas.Parte 2Conversor de un documento pdf/Word a un archivo en formato SVG. Las entidades que contiene el documento pdf/Word, tales como imágenes, objetos y textos deben de tener una identificación que se corresponda con la misma entidad en el documento folia (ver parte 1) y el documento SVG.  Es decir, debe de poder disponer de un mapa de correspondencia entre ambos documentos.Parte 3Visor SVG para el navegador que permita identificar palabras o frases para vincular anotaciones. El documento debe de poder paginar, hacer zoom para facilitar la visualización y visualizar las anotaciones realizadas.Las anotaciones serán anotaciones disponibles a través de un diccionario y anotaciones de texto libre que un usuario podrá identificar y vincular a textos u otros elementos del documento. Además, los usuarios podrán añadir anotaciones gráficas sencillas, como por ejemplo flechas etc.Estas anotacione se guardarán en el documento folia XML. Es decir, para representar un documento será necesario leer el documento SVG para la información visual y leer el documento folia XML para la información de las anotaciones.El visor debe de tener la forma de una clase instanciable en javascript y que se pueda vincular a una entidad existente, de forma que pueda ser integrado visualmente sin dificultad en un panel de la plataforma.El visor debe de poder funcionar en pc, tablet y móvil y debe de poder ser compatible con una aplicación en phonegap y angularjsParte 4.El visor SVG debe de poder gestionar una estructura de datos de las anotaciones de forma que pueda ser enviada al servidor para permitir su almacenamiento. El proceso de guardado tiene que ser en tiempo real, mientras el usuario va realizando anotaciones, ésta debe de ser guardada en ese mismo momento.Parte 5 El visor SVG debe permitir la exportación del texto, incluyendo las anotaciones como comentarios, a formato Word y PDF.Parte 6 (opcional)El visor SVG debe permitir la edición de los textos si vienen de Word. Así, el usuario podrá mejorar el texto teniendo en cuenta las anotaciones del profe. Exigencias: el equipo de producto de Revisely es Español. La documentación y los comentarios en el código fuente se realizarán en Inglés.Referéncias:Folia: http://proycon.github.io/folia/Folia Tools: https://pypi.python.org/pypi/FoLiA-toolsFolia documentation: https://github.com/proycon/folia/raw/master/docs/folia.pdfUCTO: https://languagemachines.github.io/ucto/Visor PDF/ODF:  http://viewerjs.org/Visor HTML box.com: https://github.com/box/viewer.jsLibrería para la manipulación visual de entidades, D3: https://d3js.org/SVG documentation: https://www.w3.org/TR/SVG/            ",""
"necesito desarrollar un programa de labview
                ",http://www.nubelo.com/proyecto/necesito-desarrollar-un-programa-de-labview,"22 días
                      ","7 días
                       ","proyecto freelance
           ","Mexico, Veracruz
             ","sin especificar
              ","Experto (+10 años)
                     ",ICAVE ,Mexico                ,"
              Necesito un buffer de array de string que rote, ose que si , por ejemplo, es de 10 dimensiones, cuando la cuenta llegue a 10, el dato de la decima casilla se elimine y continue la cuenta en la primera Casilla o dimension, y asi sucesivamente.            ",""
"crear la web de mi empresa 
                ",http://www.nubelo.com/proyecto/crear-la-web-de-mi-empresa-67,"22 días
                      ","7 días
                       ","proyecto freelance
           ","Nicaragua, Managua
           ","sin especificar
              ","Intermedio (3-5 años)
                  ",Abogado y Notario ,Nicaragua                ,"
              Crear la web para mis servicios profesionales de Abogado y Notario en Nicaragua. fácil de cargar y actualizar. contener imágenes, diversas plataformas. elaborar una propuesta económica para un pequeño profesional que busca como atraer más clientes sobre todo extranjeros que vienen a invertir a nuestro país.            ",""
"Soporte Técnico
                ",http://www.nubelo.com/proyecto/httpwwwauditsacommx-2,"22 días
                      ","7 días
                       ","proyecto freelance
           ","Paraguay, Asunción
           ","sin especificar
              ","Junior (
                               ",Auditsa ,Paraguay                ,"
              Dar mantenimiento preventivo y correctivo a equipo que se instalara en sus domicilios ( no requiere mucho espacio).Este equipo se encuentra grabando lo que se transmite en radio y televisión y solo requiere estar al pendiente de su correcto funcionamiento.            ",""
"Soporte Técnico
                ",http://www.nubelo.com/proyecto/httpwwwauditsacommx-1,"22 días
                      ","7 días
                       ","proyecto freelance
           ","Bolivia, La Paz
              ","sin especificar
              ","Junior (
                               ",Auditsa ,Bolivia                ,"
              Dar mantenimiento preventivo y correctivo a equipo que se instalara en sus domicilios ( no requiere mucho espacio).Este equipo se encuentra grabando lo que se transmite en radio y televisión y solo requiere estar al pendiente de su correcto funcionamiento.            ",""
"Soporte Técnico
                ",http://www.nubelo.com/proyecto/httpwwwauditsacommx,"22 días
                      ","22 días
                      ","proyecto freelance
           ","Uruguay, Montevideo
          ","sin especificar
              ","Junior (
                               ",Auditsa ,Uruguay                ,"
              Dar mantenimiento preventivo y correctivo a equipo que se instalara en sus domicilios( no requiere mucho espacio).Este equipo se encuentra grabando lo que se transmite en radio y televisión y solo requiere estar al pendiente de su correcto funcionamiento.            ",""
"Diseñador Gráfico con experiencia en redes sociales, prestashop y fotografía
                ",http://www.nubelo.com/proyecto/disenador-grafico-con-experiencia-en-redes-sociales-prestashop-y-fotografia,"22 días
                      ","7 días
                       ","proyecto freelance
           ","España, Fuenlabrada
          ","sin especificar
              ","Intermedio (3-5 años)
                  ",Giorgie Valentian ,España                ,"
              Somos una empresa de Comercio al mayor,  mediante una plataforma desarrollada en prestashop. Continuamente requerimos de una persona que se comprometa con la empresa, para desarrollar desde sus competencias todo lo necesario gráficamente. Sería necesario dar soporte creativo al departamento técnico y directivo. Asimismo, sería necesario conocimientos de fotografía industrial.            ",""
"Diseño aplicaciones.
                ",http://www.nubelo.com/proyecto/diseno-aplicaciones-1,"22 días
                      ","7 días
                       ","proyecto freelance
           ","España, Madrid
               ","sin especificar
              ","Intermedio (3-5 años)
                  ",Sergio ,España                ,"
               necesito a un programador de aplicaciones en Android e IOS que quiera colaborar en un proyecto innovador y con buenas espectativas de crecimiento. La labor de dicha persona es realizar el diseño de la app requerida por nuestros clientes, importantisimo ofrecer precios competitivos y posibilidad de financiación ya que trabajaremos con emprendedores y Pymes cuyos recursos al inicio de su actividad son bajos. Nos interesa tener una buena cartera de clientes por tener precios competitivos y no pocos por precios elevados.             ",""
"Crear App Android
                ",http://www.nubelo.com/proyecto/crear-app-android-1,"22 días
                      ","7 días
                       ","proyecto freelance
           ","España, Barcelona
            ","1.000,00 €
                   ","Junior (
                               ",Emp**** ,España                ,"
              Creación de una plataforma para oferta y demanda de un servicio determinado que se concretará en la fase de contacto avanzado con el programador freelancer. El trabajo consiste en la realización de una plataforma grosso modo similar a Wallapop en el funcionamiento, pero no relacionada con genero de segunda mano. Se busca persona de confianza, entusiasta, posiblemente con experiencia y capaz de entregar una app completa funcionando.            ",""
"Backend para web de alto tráfico
                ",http://www.nubelo.com/proyecto/backend-para-web-de-alto-trafico,"22 días
                      ","8 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Die**** ,Argentina                ,"
              Edito una enciclopedia online de mucho tráfico, con miles de registros y muchas interrelaciones.Tiene un backend obsoleto y necesitamos modernizarnos para crecer (en tráfico, funcionalidad y en cantidad de contenido).Los datos están en mysql. Hay cerca de 60mil registros.Tenemos un template en html, para implementar cuando esté el backend.La propuesta debería comenzar con la evaluación de qué lenguaje/CMS debería usarse, preferentemente código abierto.Éste será el primer paso, ya que hay mucho para seguir creciendo luego de establecer una base sólida.Estamos buscando seriedad y compromiso para el desarrollo.Gracias.            ",""
"Terminar programación plugin wordpress
                ",http://www.nubelo.com/proyecto/terminar-programacion-plugin-wordpress,"22 días
                      ","7 días
                       ","proyecto freelance
           ","España, Barcelona
            ","100,00 €
                     ","Intermedio (3-5 años)
                  ",Marta ,España                ,"
              Necesitamos terminar un plugin para wordpress que hace consultas a tablas externas dentro de la base de datos en wordpress.Las consultas tienen que mostrar un filtro jerarquico que ya está realizado, pero dicha consulta tiene que mostrar los resultados en una página y esta parte es la que falta modificar y perfilar todo y que está a medio terminar.Terminar la página de resultados del filtro que ya está realizado, dicha página tiene que ser responsive y acorde con el diseño de la página. El proveedor entregará unos shortcodes para dicho buscador y tiene que dejar empaquetado el plugin para instalación en cliente.El plazo de ejecución es de 24h.Se realizará en el servidor de pruebas y el proveedor tiene que dar soporte hasta la entrega a cliente final.            ",""
"busco programador de juegos multiplayer  en html5 + conexion facebook
                ",http://www.nubelo.com/proyecto/busco-programador-de-juegos-multiplayer-en-html5-conexion-facebook,"22 días
                      ","8 días
                       ","proyecto freelance
           ","Peru, Lima
                   ","sin especificar
              ","Intermedio (3-5 años)
                  ",games ,Peru                ,"
              tengo un juego identico  al  dragonbound.net  lo  que deseo es usar sus funciones de tiros pero  quiero  quitar algunas cosas y agregarle lo siguiente q cuando entre un nuevo usuario  le salga la opcion de escoger un personajemobiles nuevosnuevos sonidosnuevos mapasun tienda de ropa  para cada tipo de personaje             ",""
"Soporte Técnico
                ",http://www.nubelo.com/proyecto/httpwwwauditsacommx-6,"22 días
                      ","7 días
                       ","proyecto freelance
           ","Argentina, Rosario
           ","sin especificar
              ","Junior (
                               ",Auditsa ,Argentina                ,"
              Dar mantenimiento preventivo y correctivo a equipo que se instalara en sus domicilios ( no requiere mucho espacio).Este equipo se encuentra grabando lo que se transmite en radio y televisión y solo requiere estar al pendiente de su correcto funcionamiento. Ademas de que contaran con el apoyo del equipo de Soporte Técnico de la ciudad de México en caso de requerirlo.            ",""
"Traductor alemán-español
                ",http://www.nubelo.com/proyecto/traductor-aleman-espanol,"22 días
                      ","7 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Senior (6-10 años)
                     ",ACENTO en Castellano ,Chile                ,"
              Se requiere persona perfectamente bilingüe alemán-español, para traducción de textos académicos. Trabajo on-line, en cualquier parte del mundo. Se paga por página tamaño carta, interlineado sencillo, letra Times New Roman, 12 puntos.Traducción del: RusoTraducción al: RusoCantidad de palabras: Más de 1000Tipo de documento a traducir: Escritura creativa, Marketing, Técnico            ",""
"Traducción al Español
                ",http://www.nubelo.com/proyecto/traduccion-al-espanol-2,"22 días
                      ","7 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Senior (6-10 años)
                     ",Touch Screen ,Chile                ,"
               Necesito la traducción al Español de la columna ""Value"" solamente de los siguientes linksCuando haya un símbolo, sólo dejarlo y seguir con la traducción que lo acompañahttps://docs.google.com/spreadsheets/d/1_IqViIUlfq2DkjblGAanKmYofAN3ZMTEeCZqipAtH84/edit#gid=0https://docs.google.com/spreadsheets/d/1JNYThFERe8ZIu03hyci6IEs_gLA0C5yn5pI6eUTm0aA/edit#gid=0Plazo de entrega y precio es critico para la decisiónTraducción del: RusoTraducción al: RusoCantidad de palabras: De 200 a 500Tipo de documento a traducir: comercial/técnico            ",""
"AP J2EE
                ",http://www.nubelo.com/proyecto/ap-j2ee-7,"23 días
                      ","6 días
                       ","proyecto freelance
           ","España, Málaga
               ","22.000,00 €
                  ","Intermedio (3-5 años)
                  ",SOLTEL IT ,España                ,"
              proceso que tenemos abierto de Técnico de desarrollo de proyectos (programación) con al menos 2 años de experiencia. Las características del puesto y herramientas a manejar son: - Tecnología J2EE- Framework Seam basado en:    * Apache Ant   * Hibernate (JPA2)    * Richfaces (JSF2)- Lenguaje SQL Y HQL- IDE de desarrollo Eclipse 3.0 o superior             ",""
"Error resumen carrito 
                ",http://www.nubelo.com/proyecto/error-resumen-carrito,"23 días
                      ","6 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",VIAS Kids ,Colombia                ,"
              En la tienda virtual montada en prestashop 1.6.1.4, se presenta un error cuando un usuario no identificado se dirige al carrito para realizar el pago, primero sale un error en una ventana emergente y otro en los medios de pago (ver imagen adjunta), el trabajo es desaparecer ambos errores y que permita funcionamiento correcto del proceso de pago. Otro problema a solucionar es el pedido express, ya que cuando se habilita la opción ""Activar el pedido express para cuentas de invitado"" dentro de las preferencias del backoffice no permite realizar pedidos. Favor especificar el costo de la solución y el tiempo.Cualquier inquietud adicional no duden en preguntar.SaludosDuración del proyecto: Corta duraciónRoles a cubrir por el freelance: Desarrollador, Analista FuncionalEstado del proyecto: No aplicaLenguajes de programación requeridos: PHP, MySQL            ",""
"Operador de cámara/editor de video freelance 
                ",http://www.nubelo.com/proyecto/operador-de-camara-editor-de-video-freelance-,"23 días
                      ","6 días
                       ","proyecto freelance
           ","España, Madrid
               ","sin especificar
              ","Intermedio (3-5 años)
                  ",Producciones Variopinto ,España                ,"
              Variopinto producciones busca operadores de cámara con conocimientos de edición de video para proyectos como eventos, acciones de marketing, video publicitarios, mini documentales...Trabajamos para grandes corporaciones realizando un servicio audiovisual integral.            ",""
"Declaración trimestral de un trabajador en régimen general de autónomos. 
                ",http://www.nubelo.com/proyecto/declaracion-trimestral-de-un-trabajador-en-regimen-general-de-autonomos,"23 días
                      ","6 días
                       ","proyecto freelance
           ","España, Madrid
               ","sin especificar
              ","Junior (
                               ",CEsCODI  ,España                ,"
              Se busca asesor fiscal para realizar los formularios de la declaración trimestral de autónomos. Segundo trimestre del año. Presentación antes del dia 20 de Julio. El profesional seleccionado se encargará de los trámites con Hacienda desde el trimestre actual             ",""
"Python/Django
                ",http://www.nubelo.com/proyecto/pythondjango-2,"23 días
                      ","6 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Fernando ,España                ,"
              - Conocimientos en Python/Django para poder trabajar en el back-end de la aplicación.- Conocimiento en aplicaciones híbridas, el framework utilizado fue ionic.>Duración del proyecto: Larga duraciónRoles a cubrir por el freelance: DesarrolladorEstado del proyecto: Tengo las especificaciones            ",""
"Traducción textos a aleman
                ",http://www.nubelo.com/proyecto/traduccion-textos-a-aleman,"23 días
                      ","6 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Clara ,España                ,"
              Traducción de textos de na web de un hotel, del castellano al alemán. Pasaremos los textos en word y debe traducirse en un plazo aproximado de una semana.Traducción de textos al alemán Traducción de textos al alemán Traducción de textos al alemánTraducción del: RusoTraducción al: RusoCantidad de palabras: De 500 a 1000Tipo de documento a traducir: Contenido Web            ",""
"Buscamos SEO nivel Experto en Freelance para e-commerce (NO AGENCIA)
                ",http://www.nubelo.com/proyecto/buscamos-seo-nivel-experto-en-freelance-para-e-commerce-no-agencia-1,"23 días
                      ","6 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Senior (6-10 años)
                     ",Venus ,España                ,"
              Buscamos para colaboracion un profesional SEO nivel Senior o Experto en Freelance para e-commerce (NO AGENCIA). Contenidos, off page, on page, linkbuilding, estudio de competencia, estrategia en general.Duración del proyecto: Larga duraciónRoles a cubrir por el freelance: Consultor, Redactor, Keyword Research, Desarrollador SEO            ",""
"Actualizar base de datos de programaciones culturales, seguimiento telefónico con clientes
                ",http://www.nubelo.com/proyecto/actualizar-base-de-datos-de-programaciones-culturales-seguimiento-telefonico-con-clientes,"23 días
                      ","6 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",X ,España                ,"
              Actualizar datos y contactos de programaciones de música de España en la base de datos de la empresa: artistas que han formado parte de la programación, plazo de presentación de propuestas, correo electrónico, etc            ",""
"Desarrollo de web de votación en tiempo real
                ",http://www.nubelo.com/proyecto/desarrollo-de-web-de-votacion-en-tiempo-real,"23 días
                      ","6 días
                       ","proyecto freelance
           ","España, Madrid
               ","sin especificar
              ","Intermedio (3-5 años)
                  ",Customvote ,España                ,"
              Se busca un programador para el desarrollo de una aplicación de votación en tiempo real, la idea es una web que sea similar a un power point, que se van pasando diapositivas unas de vídeo, otras de fotos, texto, y de votación.El ponente tendrá un acceso como máster, el cual maneja el evento, pasa las diapositivas, abre y cierra votaciones, etc.Lo asistentes tendrán una vista diferente que el máster.El programa debe tener una parte de gestión para crear las diferentes tipos de diapositivas, en el caso de votación.Aunque el proyecto sería para la versión v1, después de su finalización se negociaria si le interesa entrar a formar parte de la empresa con contrato indefinido.Duración del proyecto: Corta duraciónRoles a cubrir por el freelance: DesarrolladorEstado del proyecto: Tengo las especificacionesLenguajes de programación requeridos: PHP, Html5, mysql            ",""
"App gimnasio con Appcelerator (Alloy)
                ",http://www.nubelo.com/proyecto/app-gimnasio-con-appcelerator-alloy,"23 días
                      ","9 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Duyal On Line ,España                ,"
              Hola a todos tenemos una app ya creada en Appcelerator ya funcionando pero necesitamos modificaciones que he adjuntado.Si queréis ver la app que tenemos funcionando podéis descargarla desde App Store.Power raw rankingsDuración del proyecto: Corta duraciónRoles a cubrir por el freelance: DesarrolladorCompatibilidad con: iPhone, AndroidEstado del proyecto: Tengo las especificaciones            ",""
"Site boxeadores prestashop
                ",http://www.nubelo.com/proyecto/site-boxeadores-prestashop,"23 días
                      ","6 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Senior (6-10 años)
                     ",Noves Idees ADR.SL ,Andorra                ,"
              Se adjunta un pdf con las diferentes pantallas.Detalles:- Se proporcionarán todos los PSDs (de las distintas pantallas del pdf adjunto)- Se dispondrá de acceso a un servidor con prestashop instalado y funcionando- Se dispondrá de un theme donde hacer el rediseño- Si se requiere algún módulo lo obtendremos- Nosotros haremos la importación de productos via csv- Cuidado con los detalles- Programar de forma eficiente y teniendo en cuenta el rendimiento del site             ",""
"crear una buscador léxico semántico
                ",http://www.nubelo.com/proyecto/crear-una-buscador-lexico-semantico,"23 días
                      ","6 días
                       ","proyecto freelance
           ","España, Tula de Allende
      ","60,00 €
                      ","Intermedio (3-5 años)
                  ",universidad del valle del mezquital ,España                ,"
              Realizar un buscador que analize la sintáxis de una palabra y la busque dentro de documentos pdf y .docs enviando en una muestra de resultados la ubicación de la palabra buscada en que archivo y página esta localizada             ",""
"Community manager
                ",http://www.nubelo.com/proyecto/community-manager-490,"23 días
                      ","6 días
                       ","proyecto freelance
           ","Mexico, Mexico City
          ","sin especificar
              ","Intermedio (3-5 años)
                  ",Jaf Clean  ,Mexico                ,"
              Jaf Clean somos una empresa de limpieza que está buscando posicionarse en el gusto de los clientes, y nos falta  buscar más Clientes comercial como residencial, así como presentar una mejor imagen de la empresa, mediante web y contenidos,             ",""
"Diseño PSD
                ",http://www.nubelo.com/proyecto/diseno-psd-3,"23 días
                      ","6 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",wilerz.com ,Argentina                ,"
              Necesitamos diseñar 10 pantallas en formato PSD en capas. Ya tenemos armados los mockups pero buscamos un diseñador que no los copie al pie de la letra sino que aporte un valor agregado en términos de diseño y user experience.            ",""
